experiment,condition,mode,seed,tumor_ratio,final_tumor,alive,js_divergence
cross_cancer,CRC-MSI-H,rules,42,0.0513,12,291,
cross_cancer,CRC-MSI-H,deepseek,123,0.0833,19,291,
cross_cancer,CRC-MSI-H,deepseek,42,0.0855,20,293,
cross_cancer,CRC-MSI-H,deepseek,456,0.0529,12,289,
cross_cancer,CRC-MSS,rules,42,0.0451,16,184,
cross_cancer,CRC-MSS,deepseek,123,0.2435,84,252,
cross_cancer,CRC-MSS,deepseek,42,0.262,93,260,
cross_cancer,CRC-MSS,deepseek,456,0.2759,96,263,
cross_cancer,Melanoma,rules,42,0.0699,19,264,
cross_cancer,Melanoma,deepseek,123,0.234,62,300,
cross_cancer,Melanoma,deepseek,42,0.3051,83,329,
cross_cancer,Melanoma,deepseek,456,0.2814,74,316,
cross_cancer,NSCLC,rules,42,0.0431,14,208,
cross_cancer,NSCLC,deepseek,123,0.2516,80,274,
cross_cancer,NSCLC,deepseek,42,0.2215,72,265,
cross_cancer,NSCLC,deepseek,456,0.2219,71,265,
cross_cancer,Ovarian,rules,42,0.0514,17,206,
cross_cancer,Ovarian,deepseek,123,0.1605,52,241,
cross_cancer,Ovarian,deepseek,42,0.0967,32,220,
cross_cancer,Ovarian,deepseek,456,0.2914,95,283,
